pclass	survived	name	age	embarked	home.dest	room	ticket	boat	sex	
1st	1	Stengel, Mrs Charles Emil Henry (Annie May Morris)	43.0000	Cherbourg	Newark, NJ	NA	NA	5	female	
1st	1	Stephenson, Mrs Walter Bertram (Martha Eustis)	52.0000	NA	Haverford, PA	NA	NA	4	female	
1st	0	Stewart, Mr Albert A.	NA	Cherbourg	Gallipolis, Ohio / ? Paris / New York	NA	NA	NA	male	
1st	1	Stone, Mrs George Nelson (Martha E.)	62.0000	NA	Cincinatti, OH	NA	NA	6	female	
1st	0	Straus, Mr Isidor	67.0000	Southampton	New York, NY	NA	17483 L221 15s 7d	(96)	male	
1st	0	Straus, Mrs Isidor (Ida Blun)	63.0000	Southampton	New York, NY	NA	17483 L221 15s 7d	NA	female	
1st	0	Sutton, Mr Frederick	61.0000	Southampton	Haddenfield, NJ	NA	NA	(46)	male	
1st	1	Swift, Mrs Frederick Joel (Margaret Welles Barron)	46.0000	Southampton	Brooklyn, NY	NA	NA	8	female	
1st	0	Taussig, Mr Emil	52.0000	Southampton	New York, NY	NA	NA	NA	male	
1st	1	Taussig, Mrs Emil (Tillie Mandelbaum)	39.0000	Southampton	New York, NY	NA	NA	8	female	
1st	1	Taussig, Miss Ruth	18.0000	Southampton	New York, NY	NA	NA	8	female	
1st	1	Taylor, Mr Elmer Zebley	48.0000	Southampton	London /  East Orange, NJ	C-126	NA	5	male	
1st	1	Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)	NA	Southampton	London /  East Orange, NJ	C-126	NA	5	female	
1st	0	Thayer, Mr John Borland	49.0000	Cherbourg	Haverford, PA	NA	NA	NA	male	
1st	1	Thayer, Mrs John Borland (Marian Longstreth Morris)	39.0000	Cherbourg	Haverford, PA	NA	NA	4	female	
1st	1	Thayer, Mr John Borland, jr.	17.0000	Cherbourg	Haverford, PA	NA	NA	B	male	
1st	0	Thorne, Mr George (alias of: Mr George Rosenshine)	46.0000	Cherbourg	New York, NY	NA	NA	NA	male	
1st	1	Thorne, Mrs Gertrude Maybelle	NA	Cherbourg	New York, NY	NA	NA	D	female	
1st	1	Tucker, Mr Gilbert Milligan, jr	31.0000	Cherbourg	Albany, NY	NA	NA	7	male	
1st	0	Uruchurtu, Mr Manuel E.	NA	Cherbourg	Mexico City, Mexico	NA	NA	NA	male	
1st	0	Van Derhoef, Mr Wyckoff	61.0000	Southampton	Brooklyn, NY	NA	NA	(245)	male	
1st	0	Walker, Mr William Anderson	47.0000	Southampton	East Orange, NJ	NA	NA	NA	male	
1st	0	Warren, Mr Frank Manley	64.0000	Cherbourg	Portland, OR	NA	NA	NA	male	
1st	1	Warren, Mrs Frank Manley (Anna S. Atkinson)	60.0000	Cherbourg	Portland, OR	NA	NA	5	female	
1st	0	Weir, Col John	60.0000	Southampton	England Salt Lake City, Utah	NA	NA	NA	male	
1st	1	White, Mrs J. Stuart (Ella Holmes)	55.0000	Cherbourg	New York, NY / Briarcliff Manor NY	NA	NA	8	female	
1st	0	White, Mr Percival Wayland	54.0000	Southampton	Brunswick, ME	NA	NA	NA	male	
1st	0	White, Mr Richard Frasar	21.0000	Southampton	Brunswick, ME	NA	NA	(169)	male	
1st	0	Wick, Mr George Dennick	57.0000	Southampton	Youngstown, OH	NA	NA	NA	male	
1st	1	Wick, Mrs George Dennick (Martha Hitchcock)	45.0000	Southampton	Youngstown, OH	NA	NA	8	female	
1st	1	Wick, Miss Mary Natalie	31.0000	Southampton	Youngstown, OH	C-7	NA	8	female	
1st	0	Widener, Mr George Dunton	50.0000	Cherbourg	Elkins Park, PA	NA	NA	NA	male	
1st	1	Widener, Mrs George Dunton (Eleanor Elkins)	50.0000	Cherbourg	Elkins Park, PA	NA	NA	4	female	
1st	0	Widener, Mr Harry Elkins	27.0000	Cherbourg	Elkins Park, PA	NA	NA	NA	male	
1st	1	Willard, Miss Constance	20.0000	Southampton	Duluth, MN	NA	NA	NA	female	
1st	0	Williams, Mr Charles Duane	51.0000	Cherbourg	Geneva, Switzerland / Radnor, PA	NA	NA	NA	male	
1st	0	Williams, Mr Fletcher Lambert	NA	Southampton	London, England	NA	NA	NA	male	
1st	1	Williams, Mr Richard Norris II	21.0000	Cherbourg	Geneva, Switzerland / Radnor, PA	NA	NA	A	male	
1st	1	Woolner, Mr Hugh	NA	Southampton	London, England	NA	NA	D	male	
1st	0	Wright, Mr George	NA	Southampton	Halifax, NS	NA	NA	NA	male	
1st	1	Young, Miss Marie Grice	36.0000	Cherbourg	New York, NY / Washington, DC	NA	NA	8	female	
1st	1	Barber, Ms 	NA	Southampton	NA	NA	NA	NA	female	
1st	1	Bazzani, Ms Albina	NA	Cherbourg	NA	NA	NA	NA	female	
1st	1	Bidois, Miss Rosalie	NA	Cherbourg	NA	NA	17754	NA	female	
1st	1	Bird, Ms Ellen	NA	Southampton	NA	C-97	17483	NA	female	
1st	1	Bissetti, Ms Amelia	NA	Cherbourg	NA	C-99	NA	NA	female	
1st	1	Burns, Ms Elizabeth Margaret	NA	Cherbourg	NA	NA	NA	NA	female	
1st	1	Chaudanson, Ms Victorine	NA	Cherbourg	NA	NA	17608	NA	female	
1st	1	Cleaver, Ms Alice	NA	Southampton	NA	C22	NA	11	female	
1st	1	Daniels, Ms Sarah	NA	Southampton	NA	C-22	NA	8	female	
1st	1	Endres, Miss Caroline Louise	NA	Cherbourg	New York, NY	C-45	17754 L224 10s 6d	4	female	
1st	0	Farthing, Mr John	NA	Southampton	NA	C-55 (?C-95)	17483	NA	male	
1st	0	Fleming, Ms Margaret	NA	Cherbourg	NA	NA	NA	4	female	
1st	1	Francatelli, Ms Laura Mabel	NA	Cherbourg	NA	NA	17485	NA	female	
1st	0	Fry, Mr Richard	NA	Southampton	NA	B-102	112058	NA	male	
1st	1	Geiger, Miss Emily 	NA	Cherbourg	NA	NA	NA	NA	female	
1st	0	Giglio, Mr Victor	NA	Cherbourg	NA	B-86	17593	NA	male	
1st	0	Harrington, Mr Charles	NA	Southampton	NA	NA	NA	NA	male	
1st	0	Harrison, Mr William Henry	40.0000	Southampton	NA	NA	112059	(110)	male	
1st	0	Hassah, Mr Hamad	NA	Cherbourg	NA	NA	NA	NA	male	
1st	1	Icabad (Icabod), Ms	NA	NA	NA	NA	NA	NA	female	
1st	0	Keeping, Mr Edwin	32.0000	Cherbourg	NA	NA	NA	(45)	male	
1st	1	Kenchen, Ms Amelia	NA	Southampton	NA	NA	NA	2	female	
1st	1	LeRoy, Miss Berthe	NA	Cherbourg	NA	NA	NA	2	female	
1st	0	Lesneur, Mr Gustave	NA	Cherbourg	NA	B-?	NA	NA	male	
1st	1	Maloney, Ms	NA	Southampton	NA	NA	NA	8	female	
1st	0	Oliva, Mlle	NA	Cherbourg	NA	NA	NA	NA	female	
1st	1	Pericault, Ms	NA	Southampton	NA	NA	NA	NA	female	
1st	0	Ringhini, Mr Sante	33.0000	Cherbourg	NA	NA	NA	(232)	male	
1st	0	Robbins, Mr Victor	NA	Cherbourg	NA	C-62	17754	NA	male	
1st	1	Segesser, Mlle. Emma	NA	Cherbourg	NA	NA	NA	NA	female	
1st	0	Seredeca, Ms	NA	Southampton	NA	NA	NA	NA	female	
1st	0	Ward, Ms Anna	NA	Cherbourg	NA	NA	NA	NA	female	
1st	1	Wilson, Ms Helen	NA	Cherbourg	NA	NA	NA	NA	female	
2nd	0	Abelson, Mr Samuel	30.0000	Cherbourg	Russia New York, NY	NA	NA	NA	male	
2nd	1	Abelson, Mrs Samuel (Anna)	28.0000	Cherbourg	Russia New York, NY	NA	NA	12	female	
2nd	0	Andrew, Mr Edgar Samuel	18.0000	Southampton	Buenos Aires, Argentina / New Jersey, NJ	NA	NA	NA	male	
2nd	0	Andrew, Mr Frank	NA	Southampton	Cornwall, England Houghton, MI	NA	NA	NA	male	
2nd	0	Angle, Mr William A.	34.0000	Southampton	Warwick, England	NA	NA	NA	male	
2nd	1	Angle, Mrs William A. (Florence)	32.0000	Southampton	Warwick, England	NA	NA	NA	female	
2nd	0	Ashby, Mr John	57.0000	Southampton	West Hoboken, NJ	NA	NA	NA	male	
2nd	0	Bailey, Mr Percy Andrew	18.0000	Southampton	Penzance, Cornwall / Akron, OH	NA	NA	NA	male	
2nd	0	Baimbrigge, Mr Charles R.	23.0000	Southampton	Guernsey	NA	NA	NA	male	
2nd	1	Balls, Mrs Ada E. Hall	36.0000	Southampton	Bristol, Avon / Jacksonville, FL	NA	NA	NA	female	
2nd	0	Banfield, Mr Frederick J.	28.0000	Southampton	Plymouth, Dorset / Houghton, MI	NA	NA	NA	male	
2nd	0	Bateman, Rev Robert James	51.0000	Southampton	Jacksonville, FL	NA	NA	(174)	male	
2nd	1	Beane, Mr Edward	32.0000	Southampton	Norwich / New York, NY	NA	NA	NA	male	
2nd	1	Beane, Mrs Edward (Ethel Clarke)	19.0000	Southampton	Norwich / New York, NY	NA	NA	NA	female	
2nd	0	Beauchamp, Mr Henry James	28.0000	Southampton	England	NA	NA	NA	male	
2nd	1	Becker, Mrs Allen Oliver (Nellie E. Baumgardner)	36.0000	Southampton	Guntur, India / Benton Harbour, MI	NA	230136 L39	11	female	
2nd	1	Becker, Miss Marion Louise	 4.0000	Southampton	Guntur, India / Benton Harbour, MI	NA	230136 L39	11	female	
2nd	1	Becker, Master Richard F.	 1.0000	Southampton	Guntur, India / Benton Harbour, MI	NA	230136 L39	11	male	
2nd	1	Becker, Miss Ruth Elizabeth	12.0000	Southampton	Guntur, India / Benton Harbour, MI	NA	230136 L39	13	female	
2nd	1	Beesley, Mr Lawrence	34.0000	Southampton	London	D-56	248698 L13	13	male	
2nd	1	Bentham, Miss Lilian W.	19.0000	Southampton	Rochester, NY	NA	NA	12	female	
2nd	0	Berriman, Mr William S.	23.0000	Southampton	St Ives, Cornwall / Calumet, MI	NA	NA	NA	male	
2nd	0	Botsford, Mr William Hull	26.0000	Southampton	Elmira, NY / Orange, NJ	NA	NA	NA	male	
2nd	0	Bowenur, Mr Solomon	NA	Southampton	London	NA	NA	NA	male	
2nd	0	Bracken, Mr James H.	27.0000	Southampton	Lake Arthur, Chavez County, NM	NA	NA	NA	male	
2nd	1	Brown, Miss Edith E.	15.0000	Southampton	Cape Town, South Africa / Seattle, WA	NA	NA	14	female	
2nd	0	Brown, Mr Thomas William Solomon	45.0000	Southampton	Cape Town, South Africa / Seattle, WA	NA	NA	NA	male	
2nd	1	Brown, Mrs Thomas William Solomon (Elizabeth C.)	40.0000	Southampton	Cape Town, South Africa / Seattle, WA	NA	NA	14	female	
2nd	1	Bryhl, Miss Dagmar	20.0000	Southampton	Skara, Sweden / Rockford, IL	NA	NA	12	female	
2nd	0	Bryhl, Mr Kurt Arnold Gottfrid	25.0000	Southampton	Skara, Sweden / Rockford, IL	NA	NA	NA	male	
2nd	1	Buss, Miss Kate	36.0000	Southampton	Sittingbourne, England / San Diego, CA	E-?	27849	9	female	
2nd	0	Butler, Mr Reginald Fenton	25.0000	Southampton	Southsea, Hants	NA	NA	(97)	male	
2nd	0	Byles, Rev. Thomas Roussel D.	NA	Southampton	London	NA	NA	NA	male	
2nd	1	Bystrom, Mrs Carolina	42.0000	Southampton	New York, NY	NA	NA	NA	female	
2nd	1	Caldwell, Mr Albert Francis	26.0000	Southampton	Bangkok, Thailand / Roseville, IL	NA	NA	13	male	
2nd	1	Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)	26.0000	Southampton	Bangkok, Thailand / Roseville, IL	NA	NA	13	female	
2nd	1	Caldwell, Master Alden Gates	 0.8333	Southampton	Bangkok, Thailand / Roseville, IL	NA	NA	13	male	
2nd	1	Cameron, Miss Clear	31.0000	Southampton	Mamaroneck, NY	NA	NA	NA	female	
2nd	0	Campbell, Mr William	NA	NA	Belfast	NA	NA	NA	male	
2nd	0	Carbines, Mr William	19.0000	Southampton	St Ives, Cornwall / Calumet, MI	NA	NA	(18)	male	
2nd	0	Carter, Rev Ernest Courtenay	54.0000	Southampton	London	NA	NA	NA	male	
2nd	0	Carter, Mrs Ernest Courtenay (Lillian Hughes)	44.0000	Southampton	London	NA	NA	NA	female	
2nd	0	Chapman, Mr Charles Henry	52.0000	Southampton	Bronx, NY	NA	NA	(130)	male	
2nd	0	Chapman, Mr John Henry	30.0000	Southampton	Cornwall / Spokane, WA	NA	NA	(17)	male	
2nd	0	Chapman, Mrs John Henry (Elizabeth Lawry)	30.0000	Southampton	Cornwall / Spokane, WA	NA	NA	NA	female	
2nd	1	Christy, Mrs Alice Frances	NA	Southampton	London	NA	NA	NA	female	
2nd	1	Christy, Miss Julie	NA	Southampton	London	NA	NA	NA	female	
2nd	0	Clarke, Mr Charles V.	29.0000	Southampton	England / San Francisco, CA	NA	NA	NA	male	
2nd	1	Clarke, Mrs Charles V. (Ada Maria)	NA	Southampton	England / San Francisco, CA	NA	NA	14	female	
2nd	0	Coleridge, Mr Reginald Charles	29.0000	Southampton	Hartford, Huntingdonshire	NA	NA	NA	male	
2nd	0	Collander, Mr Erik	27.0000	Southampton	Helsinki, Finland Ashtabula, Ohio	NA	NA	NA	male	
2nd	1	Collett, Mr Sidney C. Stuart	24.0000	Southampton	London / Fort Byron, NY	NA	NA	9	male	
2nd	0	Collyer, Mr Harvey	35.0000	Southampton	Bishopstoke, Hants / Fayette Valley, ID	NA	NA	NA	male	
2nd	1	Collyer, Mrs Harvey (Charlotte Tate)	31.0000	Southampton	Bishopstoke, Hants / Fayette Valley, ID	NA	NA	14	female	
2nd	1	Collyer, Miss Marjorie	 8.0000	Southampton	Bishopstoke, Hants / Fayette Valley, ID	NA	NA	14	female	
2nd	0	Cook, Mrs Selena Rogers	22.0000	Southampton	Pennsylvania	F-33	NA	14	female	
2nd	0	Corbett, Mrs Walter H. (Irene Colvin)	30.0000	Southampton	Provo, UT	NA	NA	NA	female	
2nd	0	Corey, Mrs Percy C. (Mary Phyllis Elizabeth Miller)	NA	Southampton	Upper Burma, India Pittsburgh, PA	NA	NA	NA	female	
2nd	0	Cotterill, Mr Harry	20.0000	Southampton	Penzance, Cornwall / Akron, OH	NA	NA	NA	male	
2nd	0	Cunningham, Mr Alfred Fleming	NA	NA	Belfast	NA	NA	NA	male	
2nd	0	Davies, Mr Charles Henry	21.0000	Southampton	Lyndhurst, England	NA	NA	NA	male	
2nd	1	Davis, Mrs Agnes	49.0000	Southampton	St Ives, Cornwall / Hancock, MI	NA	NA	NA	female	
2nd	1	Davis, Master John Morgan	 8.0000	Southampton	St Ives, Cornwall / Hancock, MI	NA	NA	NA	male	
2nd	1	Davis, Miss Mary	28.0000	Southampton	London / Staten Island, NY	NA	NA	13	female	
2nd	0	Deacon, Mr Percy	18.0000	Southampton	NA	NA	NA	NA	male	
2nd	0	de Brito, Mr Jose Joaquim	NA	NA	Portugal / Sau Paulo, Brazil	NA	NA	NA	male	
2nd	0	del Carlo, Mr Sebastiano	28.0000	Cherbourg	Lucca, Italy / California	NA	NA	(295)	male	
2nd	1	del Carlo, Mrs Sebastiano (Argenia Genovese)	22.0000	Cherbourg	Lucca, Italy / California	NA	NA	NA	female	
2nd	0	Denbury, Mr Herbert	25.0000	Southampton	Guernsey / Elizabeth, NJ	NA	NA	NA	male	
2nd	0	Dibden, Mr William	18.0000	Southampton	New Forest, England	NA	NA	NA	male	
2nd	1	Doling, Mrs Ada	32.0000	Southampton	Southampton	NA	NA	NA	female	
2nd	1	Doling, Miss Elsie	18.0000	Southampton	Southampton	NA	NA	NA	female	
2nd	0	Downton (?Douton), Mr William James	NA	Southampton	Holley, NY	NA	NA	NA	male	
2nd	0	Drew, Mr James Vivian	42.0000	Southampton	Greenport, NY	NA	28220 L32 10s	NA	male	
2nd	1	Drew, Mrs James Vivian (Lulu Thorne Christian)	34.0000	Southampton	Greenport, NY	NA	28220 L32 10s	NA	female	
2nd	1	Drew, Master Marshall Brines	 8.0000	Southampton	Greenport, NY	NA	28220 L32 10s	NA	male	
2nd	1	Duran y More, Miss Asuncion	NA	Cherbourg	Barcelona, Spain / Havana, Cuba	NA	NA	12	female	
2nd	1	Duran y More, Miss Florentina	NA	Cherbourg	Barcelona, Spain / Havana, Cuba	NA	NA	12	female	
2nd	0	Eitemiller, Mr George Floyd	23.0000	Southampton	England / Detroit, MI	NA	NA	NA	male	
2nd	0	Enander, Mr Ingvar	21.0000	Southampton	Goteborg, Sweden / Rockford, IL	NA	NA	NA	male	
2nd	0	Fahlstrom, Mr Arne Jonas	19.0000	Southampton	Oslo, Norway Bayonne, NJ	NA	NA	NA	male	
2nd	0	Faunthorpe, Mr Harry	NA	Southampton	England / Philadelphia, PA	NA	NA	(286)	male	
2nd	1	Faunthorpe, Mrs Lizzie (see Wilkinson, E.)	NA	NA	NA	NA	NA	NA	female	
2nd	0	Fillbrook, Mr Charles	NA	Southampton	Cornwall / Houghton, MI	NA	NA	NA	male	
2nd	0	Fox, Mr Stanley H.	38.0000	Southampton	Rochester, NY	NA	229236 L13	(236)	male	
2nd	0	Frost, Mr Anthony (Archie) W.	NA	NA	Belfast	NA	NA	NA	male	
2nd	0	Funk, Miss Annie C.	38.0000	Southampton	Janjgir, India / Pennsylvania	NA	NA	NA	female	
2nd	0	Fynney, Mr Joseph J.	35.0000	Southampton	Liverpool / Montreal, PQ	NA	NA	(322)	male	
2nd	0	Gale, Mr Harry	35.0000	Southampton	Cornwall / Clear Creek, CO	NA	NA	NA	male	
2nd	0	Gale, Mr Shadrach	38.0000	Southampton	Cornwall / Clear Creek, CO	NA	NA	NA	male	
2nd	1	Garside, Miss Ethel	24.0000	Southampton	Brooklyn, NY	NA	NA	NA	female	
2nd	0	Gaskell, Mr Alfred	16.0000	Southampton	Liverpool / Montreal, PQ	NA	NA	NA	male	
2nd	0	Gavey, Mr Lawrence	26.0000	Southampton	Guernsey / Elizabeth, NJ	NA	NA	NA	male	
2nd	0	Gilbert, Mr William	45.0000	Southampton	Cornwall	NA	NA	NA	male	
2nd	0	Giles, Mr Edgar	24.0000	Southampton	Cornwall / Camden, NJ	NA	NA	NA	male	
2nd	0	Giles, Mr Frederick	21.0000	Southampton	Cornwall / Camden, NJ	NA	NA	NA	male	
2nd	0	Giles, Mr Ralph	22.0000	Southampton	West Kensington, London	NA	NA	(297)	male	
2nd	0	Gill, Mr John W.	NA	Southampton	Clevedon, England	NA	NA	NA	male	
2nd	0	Gillespie, Mr William	34.0000	Southampton	Vancouver, BC	NA	NA	NA	male	
2nd	0	Givard, Mr Hans Christensen	30.0000	Southampton	NA	NA	NA	(305)	male	
2nd	0	Greenberg, Mr Samuel	50.0000	Southampton	Bronx, NY	NA	NA	(19)	male	
2nd	0	Hale, Mr Reginald	30.0000	Southampton	Auburn, NY	NA	NA	(75)	male	
2nd	1	Hamalainen, Mrs William (Anna)	23.0000	Southampton	Detroit, MI	NA	NA	NA	female	
2nd	1	Hamalainen, Master Viljo	 1.0000	Southampton	Detroit, MI	NA	NA	NA	male	
2nd	0	Harbeck, Mr William H.	44.0000	Southampton	Seattle, WA / Toledo, OH	NA	248749 L13	(35)	male	
2nd	0	Harper, Rev John	28.0000	Southampton	Denmark Hill, Surrey / Chicago	NA	NA	NA	male	
2nd	1	Harper, Miss Nina	 6.0000	Southampton	Denmark Hill, Surrey / Chicago	NA	NA	11	female	
2nd	1	Harris, Mr George	30.0000	Southampton	London	NA	NA	NA	male	
2nd	0	Harris, Mr Walter	NA	Southampton	Walthamstow, England	NA	NA	NA	male	
2nd	0	Hart, Mr Benjamin	43.0000	Southampton	Ilford, Essex / Winnipeg, MB	NA	13529 L26 5s	NA	male	
2nd	1	Hart, Mrs Benjamin (Esther)	45.0000	Southampton	Ilford, Essex / Winnipeg, MB	NA	13529 L26 5s	14	female	
2nd	1	Hart, Miss Eva Miriam	 7.0000	Southampton	Ilford, Essex / Winnipeg, MB	NA	13529 L26 5s	14	female	
2nd	1	Herman, Miss Alice	24.0000	Southampton	Somerset / Bernardsville, NJ	NA	NA	9	female	
2nd	1	Herman, Miss Kate	24.0000	Southampton	Somerset / Bernardsville, NJ	NA	NA	9	female	
2nd	0	Herman, Mr Samuel	49.0000	Southampton	Somerset / Bernardsville, NJ	NA	NA	NA	male	
2nd	1	Herman, Mrs Samuel (Jane Laver)	48.0000	Southampton	Somerset / Bernardsville, NJ	NA	NA	9	female	
2nd	1	Hewlett, Mrs Mary D.	NA	Southampton	India / Rapid City, SD	NA	NA	13	female	
2nd	0	Hickman, Mr Leonard Mark	34.0000	Southampton	West Hampstead, London / Neepawa, MB	NA	NA	(256)	male	
2nd	0	Hickman, Mr Lewis	32.0000	Southampton	West Hampstead, London / Neepawa, MB	NA	NA	NA	male	
2nd	0	Hickman, Mr Stanley George	21.0000	Southampton	West Hampstead, London / Neepawa, MB	NA	NA	NA	male	
2nd	0	Hiltunen, Miss Marta	18.0000	Southampton	Kontiolahti, Finland / Detroit, MI	NA	NA	NA	female	
2nd	1	Hocking, Mrs Elizabeth	53.0000	Southampton	Cornwall / Akron, OH	NA	NA	4	female	
2nd	0	Hocking, Mr George	23.0000	Southampton	Cornwall / Akron, OH	NA	NA	NA	male	
2nd	1	Hocking, Miss Ellen (Nellie)	21.0000	Southampton	Cornwall / Akron, OH	NA	NA	4	female	
2nd	0	Hocking, Mr Samuel James	NA	Southampton	Devonport, England	NA	NA	NA	male	
2nd	0	Hodges, Mr Henry Price	52.0000	Southampton	Southampton	NA	NA	(149)	male	
2nd	0	Hold, Mr Stephen	42.0000	Southampton	England / Sacramento, CA	NA	NA	NA	male	
2nd	1	Hold, Mrs Stephen (Annie Margaret)	36.0000	Southampton	England / Sacramento, CA	NA	NA	NA	female	
2nd	0	Hood, Mr Ambrose, Jr	21.0000	Southampton	New Forest, England	NA	NA	NA	male	
2nd	1	Hosono, Mr Masafumi	41.0000	Southampton	Tokyo, Japan	NA	NA	13	male	
2nd	0	Howard, Mr Benjamin	NA	Southampton	Swindon, England	NA	NA	NA	male	
2nd	0	Howard, Mrs Benjamin (Ellen Truelove)	NA	Southampton	Swindon, England	NA	NA	NA	female	
2nd	0	Hunt, Mr George Henry	33.0000	Southampton	Philadelphia, PA	NA	NA	NA	male	
2nd	1	Ilett, Miss Bertha	17.0000	Southampton	Guernsey	NA	NA	NA	female	
2nd	0	Jacobsohn Mr Sidney Samuel	NA	Southampton	London	NA	NA	NA	male	
2nd	1	Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy)	NA	Southampton	London	NA	NA	NA	female	
2nd	0	Jarvis, Mr John Denzil	NA	Southampton	North Evington, England	NA	NA	NA	male	
2nd	0	Jefferys, Mr Clifford	NA	Southampton	Guernsey / Elizabeth, NJ	NA	NA	NA	male	
2nd	0	Jefferys, Mr Ernest	NA	Southampton	Guernsey / Elizabeth, NJ	NA	NA	NA	male	
2nd	0	Jenkin, Mr Stephen Curnow	NA	Southampton	St Ives, Cornwall / Houghton, MI	NA	NA	NA	male	
2nd	1	Jerwan, Mrs Amin S. (Marie Thuillard)	23.0000	Cherbourg	New York, NY	NA	NA	NA	female	
2nd	0	Kantor, Mr Sinai	34.0000	Southampton	Moscow / Bronx, NY	NA	NA	(283)	male	
2nd	1	Kantor, Mrs Sinai (Miriam Sternim)	NA	Southampton	Moscow / Bronx, NY	NA	NA	NA	female	
2nd	0	Karnes, Mrs J. Frank (Claire Bennett)	22.0000	Southampton	India / Pittsburgh, PA	NA	NA	NA	female	
2nd	0	Keane, Mr Daniel	NA	Queenstown	NA	NA	NA	NA	male	
2nd	1	Keane, Miss Nora A.	NA	Queenstown	Harrisburg, PA	E-101	NA	10	female	
2nd	1	Kelly, Mrs Florence (Fannie)	45.0000	Southampton	London / New York, NY	NA	NA	NA	female	
2nd	0	Kirkland, Rev Charles Leonard	NA	Queenstown	Glasgow / Bangor, ME	NA	NA	NA	male	
2nd	0	Knight, Mr Robert	NA	NA	Belfast	NA	NA	NA	male	
2nd	0	Kvillner, Mr Johan Henrik Johannesson	31.0000	Southampton	Sweden / Arlington, NJ	NA	NA	(165)	male	
2nd	0	Lahtinen, Rev William	30.0000	Southampton	Minneapolis, MN	NA	NA	NA	male	
2nd	0	Lahtinen, Mrs William (Anna Sylvan)	26.0000	Southampton	Minneapolis, MN	NA	NA	NA	female	
2nd	0	Lamb, Mr John James	NA	Queenstown	NA	NA	NA	NA	male	
2nd	1	Lemore, Mrs Amelia	34.0000	Southampton	Chicago, IL	F-33	NA	14/D	female	
2nd	0	LaRoche, Mr Joseph	26.0000	Cherbourg	Paris / Haiti	NA	NA	NA	male	
2nd	1	LaRoche, Mrs Joseph (Juliet)	22.0000	Cherbourg	Paris / Haiti	NA	NA	NA	female	
2nd	1	LaRoche, Miss Louise	 1.0000	Cherbourg	Paris / Haiti	NA	NA	NA	female	
2nd	1	LaRoche, Miss Simonne	 3.0000	Cherbourg	Paris / Haiti	NA	NA	NA	female	
2nd	1	Lehmann, Miss Bertha	NA	Cherbourg	Berne, Switzerland / Central City, IA	NA	NA	NA	female	
2nd	1	Leitch, Miss Jessie	NA	Southampton	London / Chicago, IL	NA	NA	11	female	
2nd	0	Levy, Mr Rene Jacques	NA	Cherbourg	Montreal, PQ	NA	NA	NA	male	
2nd	0	Leyson, Mr Robert William Norman	25.0000	Southampton	NA	NA	NA	(108)	male	
2nd	0	Lingan, Mr John	NA	Queenstown	NA	NA	NA	NA	male	
2nd	0	Louch, Mr Charles Alexander	48.0000	Southampton	Weston-Super-Mare, Somerset	NA	NA	(121)	male	
2nd	1	Louch, Mrs Charles Alexander (Alice Adelaide)	NA	Southampton	Weston-Super-Mare, Somerset	NA	NA	14	female	
2nd	0	Mack, Mrs Mary	57.0000	Southampton	Southampton / New York, NY	E77	NA	(52)	female	
2nd	0	Malachard, Mr Noel	NA	Cherbourg	Paris	NA	NA	NA	male	
2nd	0	Mallet, Mr Albert	NA	Cherbourg	Paris / Montreal, PQ	NA	NA	NA	male	
2nd	1	Mallet, Mrs Albert (Antoinette)	NA	Cherbourg	Paris / Montreal, PQ	NA	NA	NA	female	
2nd	1	Mallet, Master Andre	 2.0000	Cherbourg	Paris / Montreal, PQ	NA	NA	NA	male	
2nd	0	Mangiavacchi, Mr Serafino Emilio	NA	Cherbourg	New York, NY	NA	NA	NA	male	
2nd	0	Mantvila, Rev Joseph	27.0000	Southampton	Worcester, MA	NA	NA	NA	male	
2nd	1	Marshall, Mrs Kate Louise Phillips	19.0000	Southampton	Worcester, England	NA	NA	NA	female	
2nd	0	Matthews, Mr William John	30.0000	Southampton	St Austall, Cornwall	NA	NA	NA	male	
2nd	0	Maybery, Mr Frank H.	20.0000	Southampton	Weston-Super-Mare / Moose Jaw, SK	NA	NA	NA	male	
2nd	0	McCrae, Mr Arthur Gordon	45.0000	Southampton	Sydney, Australia	NA	NA	(209)	male	
2nd	0	McCrie, Mr James Matthew	NA	Southampton	Sarnia, ON	NA	NA	NA	male	
2nd	0	McKane, Mr Peter D.	46.0000	Southampton	Rochester, NY	NA	NA	NA	male	
2nd	1	Mellenger, Mrs Elizabeth Anne	41.0000	Southampton	England / Bennington, VT	NA	NA	14/12	female	
2nd	1	Mellenger, Miss Madeleine Violet	13.0000	Southampton	England / Bennington, VT	NA	NA	14/12	female	
2nd	1	Mellor, Mr William John	19.0000	Southampton	Chelsea, London	NA	NA	B	male	
2nd	0	Meyer, Mr August	30.0000	Southampton	Harrow-on-the-Hill, Middlesex	NA	NA	NA	male	
2nd	0	Milling, Mr Jacob Christian	48.0000	Southampton	Copenhagen, Denmark	NA	NA	(271)	male	
2nd	0	Mitchell, Mr Henry Michael	71.0000	Southampton	Guernsey / Montclair, NJ and/or Toledo, Ohio	NA	NA	NA	male	
2nd	0	Moraweck, Dr Ernest	54.0000	Southampton	Frankfort, KY	NA	NA	NA	male	
2nd	0	Morley, Mr William	NA	Southampton	Petworth, Sussex	NA	NA	NA	male	
